업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시(입찰마감일시),공동수급,투찰
용역,20170435392-00,일반,노형동(과원북4길)지중화구간 도로정비공사 건설폐기물처리용역(장기계속),제주특별자치도 제주시,제주특별자치도 제주시,수의(총액)소액수의,2017/04/24 22:16(2017/04/28 15:00),,지문투찰
용역,20170435391-00,일반,국지도70호선 대곡~반곡 도로건설공사 사후환경영향조사용역,강원도,강원도,지명경쟁,2017/04/24 22:13(2017/05/16 10:00),,지문투찰
공사,20170435386-00,긴급,신어천 보행로 연장사업,경상남도 김해시,경상남도 김해시,제한경쟁,2017/04/24 22:09(2017/05/01 14:00),,지문투찰
물품,20170435388-00,일반,한국형발사체 엔진개발시험용 추진제(항공유 Jet A-1) 구매,한국항공우주연구원,한국항공우주연구원,수의(총액)소액수의,2017/04/24 22:09(2017/04/28 10:00),,지문투찰
용역,20170435390-00,일반,동부권 매립장 후보지 입지타당성 조사용역,경상남도 합천군,경상남도 합천군,소액수의(견적입찰),2017/04/24 22:09(2017/04/28 10:00),,지문투찰
용역,20170435383-00,일반,귀일중학교서측(소로2-17호선)도로개설공사 건설폐기물처리용역,제주특별자치도 제주시,제주특별자치도 제주시,수의(총액)소액수의,2017/04/24 22:03(2017/04/28 15:00),,지문투찰
공사,20170435381-00,긴급,수리공원 리모델링사업,경상남도 김해시,경상남도 김해시,제한경쟁,2017/04/24 22:00(2017/05/01 14:00),,지문투찰
물품,9201647-00,일반,총액)KTX 객차공조변압기용 3극접촉기 등 2점-수단,한국철도공사,한국철도공사,수의(총액),2017/04/24 21:58(2017/04/28 10:00),,한국철도공사 이동
용역,20170435379-00,일반,서울시 도시빛 기본계획 수립 학술용역,서울특별시,서울특별시,일반(총액)협상에의한계약,2017/04/24 21:57(2017/05/08 17:00),협정,지문투찰
물품,9201648-00,일반,총액)KTX보수품 스페셜볼트 등 4점-수단,한국철도공사,한국철도공사,수의(총액),2017/04/24 21:56(2017/04/28 10:00),,한국철도공사 이동
물품,9201646-00,일반,총액)KTX 객차하부고압장치용 접촉기 등 2점-수단,한국철도공사,한국철도공사,수의(총액),2017/04/24 21:55(2017/04/28 10:00),,한국철도공사 이동
물품,9201645-00,일반,총액)KTX 객차분전함용 시간지연계전기 등 3점-수단,한국철도공사,한국철도공사,수의(총액),2017/04/24 21:55(2017/04/28 10:00),,한국철도공사 이동
물품,9201644-00,일반,총액)KTX산천 주공기압축기용 안전밸브 등 4점-수단,한국철도공사,한국철도공사,수의(총액),2017/04/24 21:55(2017/04/28 10:00),,한국철도공사 이동
물품,9201643-00,일반,총액)KTX산천 공기압축기용 안전밸브 등 2점-수단,한국철도공사,한국철도공사,수의(총액),2017/04/24 21:54(2017/04/28 10:00),,한국철도공사 이동
물품,9201642-00,일반,총액)KTX산천 동력차 2차수직댐퍼 등 3점-수단,한국철도공사,한국철도공사,수의(총액),2017/04/24 21:53(2017/04/28 10:00),,한국철도공사 이동
물품,9201640-00,일반,총액)KTX산천 세면대 배수구 마개 등 4점-수단,한국철도공사,한국철도공사,수의(총액),2017/04/24 21:53(2017/04/28 10:00),,한국철도공사 이동
공사,20170435375-00,일반,애월항내 소형어선 다목적인양기 시설이설 및 보수보강공사,제주특별자치도 제주시,제주특별자치도 제주시,수의(소액),2017/04/24 21:53(2017/04/28 15:00),,지문투찰
물품,9201636-00,일반,총액)KTX산천 출입문용 열림버튼스위치 등 2점-수단,한국철도공사,한국철도공사,수의(총액),2017/04/24 21:52(2017/04/28 10:00),,한국철도공사 이동
공사,20170435376-00,긴급,대청천 수해복구공사,경상남도 김해시,경상남도 김해시,제한경쟁,2017/04/24 21:52(2017/05/01 14:00),,지문투찰
공사,20170435354-00,일반,주요도로변 쌈지공원 및 녹지 정비(7공구),경기도 남양주시,경기도 남양주시,수의(소액),2017/04/24 21:49(2017/04/28 15:00),,지문투찰
공사,20170435374-00,일반,종합경기장 주경기장 부분 도색 공사,제주특별자치도 제주시,제주특별자치도 제주시,수의(소액),2017/04/24 21:46(2017/04/28 15:00),,지문투찰
공사,20170435372-00,일반,동백동산 주변(동백로 갓길)인도정비공사,제주특별자치도 제주시,제주특별자치도 제주시,수의(소액),2017/04/24 21:40(2017/04/28 15:00),,지문투찰
공사,20170435342-00,일반,주요도로변 쌈지공원 및 녹지 정비(8공구),경기도 남양주시,경기도 남양주시,수의(소액),2017/04/24 21:35(2017/04/28 15:00),,지문투찰
물품,20170435369-00,일반,2017년 마을앞바다조성사업 전복 종패 구입 2차(단가계약),전라남도 여수시,전라남도 여수시,수의(단가),2017/04/24 21:32(2017/04/28 12:00),,지문투찰
공사,20170435363-00,일반,제주시 농산물 직거래장터 직판장 개보수공사,제주특별자치도 제주시,제주특별자치도 제주시,수의(소액),2017/04/24 21:30(2017/04/28 15:00),,지문투찰
공사,20170435316-00,일반,고흥고등학교 교실창호 및 배수로 보수공사,전라남도교육청 전라남도고흥교육지원청,전라남도교육청 전라남도고흥교육지원청,수의(소액),2017/04/24 21:28(2017/04/28 10:00),,지문투찰
물품,20170435364-00,일반,기생충 구제약품 구매,전라남도,전라남도,수의(총액)소액-견적입찰,2017/04/24 21:28(2017/04/28 12:00),,지문투찰
공사,20170435333-00,일반,주요도로변 쌈지공원 및 녹지 정비(9공구),경기도 남양주시,경기도 남양주시,수의(소액),2017/04/24 21:25(2017/04/28 15:00),,지문투찰
용역,20170414804-02,변경,Groundwater Korea 2017 행사 대행 용역,국토교통부,국토교통부,일반(총액)협상에의한계약,2017/04/24 21:25(-),,
공사,20170435306-00,일반,점암초 교사벽체 보수공사,전라남도교육청 전라남도고흥교육지원청,전라남도교육청 전라남도고흥교육지원청,수의(소액),2017/04/24 21:24(2017/04/28 10:00),,지문투찰
용역,20170435320-00,일반,국도31호선 영양 칠성지구외 5개소 사면 정밀점검 용역,경상북도,경상북도,제한경쟁,2017/04/24 21:24(2017/05/02 10:00),,지문투찰
물품,20170423382-01,취소,2017학년도 장덕고등학교 1학년 체육복(동복 · 하복) 학교주관구매 입찰 공고,광주광역시교육청 장덕고등학교,광주광역시교육청 장덕고등학교,제한(단가)규격가격동시,2017/04/24 21:24(2017/04/28 10:00),,
공사,20170435362-00,일반,송도 호안도로 보강공사,전라남도 여수시,전라남도 여수시,수의(소액),2017/04/24 21:24(2017/04/28 12:00),,지문투찰
용역,20170435108-00,일반,국도34호선 안동 갈전지구외 9개소 사면 정밀점검 용역,경상북도,경상북도,제한경쟁,2017/04/24 21:23(2017/05/02 10:00),,지문투찰
